"rank","id","title","source_url","source_site","platform","genre","mode","license_status","redistribution_status","download_status","intake_status","offline_strategy","install_size_mb","server_needs","client_needs","qa_plan","notes"
"1","beneath-a-steel-sky-scummvm","Beneath a Steel Sky","https://www.scummvm.org/games/","ScummVM freeware games","ScummVM/native","point-and-click adventure","solo","freeware-via-rights-holder-and-debian-main","cache-safe-via-scummvm-or-debian-main","download-cached","smoke-pass","Cache Debian bookworm scummvm plus beneath-a-steel-sky packages, or cache the official ScummVM freeware zip with checksum under the intake shelf; create a hub explaining native ScummVM launch.","150","","ScummVM desktop client; mouse/keyboard","Install/cache packages, launch under Xvfb, add game to ScummVM config, reach first playable screen with outbound network blocked, save screenshot/log under qa/reports.","High priority: polished classic adventure, modest size, rights path is clearer than abandonware discovery. 2026-06-20 promoted to public package hub; latest smoke pass: Reached ScummVM title/intro with nonblank screenshot."
"2","flight-amazon-queen-scummvm","Flight of the Amazon Queen","https://www.scummvm.org/games/","ScummVM freeware games","ScummVM/native","point-and-click adventure","solo","freeware-via-rights-holder-and-debian-main","cache-safe-via-scummvm-or-debian-main","download-cached","partial","Cache Debian bookworm scummvm plus flight-of-the-amazon-queen packages, or cache the official ScummVM freeware zip with checksum; hub should point to local files only.","140","","ScummVM desktop client; mouse/keyboard","Launch with local game data, start a new game, verify no external requests, capture title and first-scene screenshots.","Good family adventure lane; CD and smaller floppy options exist upstream. 2026-06-20 promoted to public package hub; latest smoke partial: Screenshot captured but nonblank check was weak."
"3","lure-temptress-scummvm","Lure of the Temptress","https://www.scummvm.org/games/","ScummVM freeware games","ScummVM/native","point-and-click adventure","solo","freeware-via-rights-holder-and-debian-main","cache-safe-via-scummvm-or-debian-main","download-cached","smoke-pass","Cache Debian bookworm scummvm plus lure-of-the-temptress, or cache official English freeware zip with checksum; include quick start notes.","100","","ScummVM desktop client; mouse/keyboard","Launch offline, confirm ScummVM detects the game, begin a new game, capture playable scene screenshot/log.","Smaller ScummVM candidate that can prove the adventure-game pipeline before larger entries. 2026-06-20 promoted to public package hub; latest smoke pass: Reached ScummVM title/intro with nonblank screenshot."
"4","drascula-scummvm","Drascula: The Vampire Strikes Back","https://www.scummvm.org/games/","ScummVM freeware games","ScummVM/native","point-and-click adventure","solo","freeware-via-rights-holder-and-debian-main","cache-safe-via-scummvm-or-debian-main","download-cached","smoke-pass","Cache Debian bookworm scummvm plus drascula; optional music packs can wait until base game smoke passes.","150","","ScummVM desktop client; mouse/keyboard","Launch offline, start game, capture menu and first interaction screenshots; defer optional language/music add-ons until base proof is stable.","Another clean ScummVM freeware package; horror/comedy tone may need age labeling. 2026-06-20 promoted to public package hub; latest smoke pass: Reached ScummVM title/intro with nonblank screenshot."
"5","freedink-lan","GNU FreeDink / Dink Smallwood","https://packages.debian.org/bookworm/freedink","Debian bookworm main","native Linux","top-down RPG/adventure","solo","GPL-engine-and-free-data-in-debian-main","cache-safe-via-debian-main","download-cached","partial","Cache freedink and freedink-data Debian packages with apt metadata; make a native hub with local package download and launch notes.","130","","Native desktop client; keyboard/gamepad optional","Install/cache packages, launch with local data under Xvfb, start a new game, move player, capture gameplay screenshot.","Strong Zelda-like RPG candidate with package-ready data and low operational burden. 2026-06-20 promoted to public package hub; latest smoke partial: Reached FreeDink menu/game start with nonblank screenshot."
"6","naev-lan","Naev","https://naev.org/","Official project page / Debian bookworm main","native Linux","space trading combat RPG","solo","GPL/open-source-with-data-in-debian-main","cache-safe-via-debian-main","download-cached","partial","Cache Debian bookworm naev and naev-data first; optionally compare with newer upstream/itch releases later.","450","","Native desktop client; OpenGL; keyboard/mouse","Launch Debian build offline, create/start pilot, enter flight or first mission screen, capture screenshot/log; note version gap vs upstream.","Fills a space RPG lane distinct from Endless Sky; current upstream is newer than bookworm. 2026-06-20 promoted to public package hub; latest smoke partial: Reached Naev menu/start screen with nonblank screenshot."
"7","colobot-gold-lan","Colobot: Gold Edition","https://colobot.info/","Official project page / Debian bookworm main","native Linux","educational programming RTS","solo","GPL/open-source-with-data-in-debian-main","cache-safe-via-debian-main","download-cached","partial","Cache Debian bookworm colobot and common data/sounds/textures; hub should include educational framing and first mission notes.","160","","Native desktop client; OpenGL; keyboard/mouse","Launch offline, start tutorial/first mission, program or command a bot enough to show real gameplay, capture screenshot/log.","Excellent LAN Arcade fit: game plus programming education. 2026-06-20 promoted to public package hub; latest smoke partial: Reached Colobot menu/tutorial screen with nonblank screenshot."
"8","ufoai-lan","UFO: Alien Invasion","https://packages.debian.org/bookworm/ufoai","Debian bookworm main","native Linux","tactical strategy","solo/LAN-server-possible","GPL/open-source-with-data-in-debian-main","cache-safe-via-debian-main","not-started","license-clear","Cache Debian bookworm ufoai packages; include ufoai-server only after client smoke; music can be optional to reduce first cache size.","1300","Optional ufoai-server; stop after smoke","Native desktop client; OpenGL; keyboard/mouse","Package-cache dry run, launch client, start campaign/skirmish, capture gameplay; later test local server if worth promoting multiplayer.","Large but genre-rich; rank lower than lighter clients because asset set is big."
"9","boswars-lan","Bos Wars","https://packages.debian.org/bookworm/boswars","Debian bookworm main","native Linux","real-time strategy","solo/LAN","GPL/open-source-with-data-in-debian-main","cache-safe-via-debian-main","download-cached","partial","Cache boswars and boswars-data Debian packages; make hub with skirmish/LAN notes if client smoke succeeds.","130","Possible built-in LAN hosting; verify ports before claiming","Native desktop client; SDL/OpenGL","Launch offline, start a skirmish against AI, capture base/unit gameplay screenshot; later test LAN session if UI supports it cleanly.","Smaller RTS candidate after MegaGlest/Warzone; useful if OpenRA asset review blocks. 2026-06-20 promoted to public package hub; latest smoke partial: Reached Bos Wars menu/skirmish screen with nonblank screenshot."
"10","neverball-lan","Neverball / Neverputt","https://packages.debian.org/bookworm/neverball","Debian bookworm main","native Linux","3D skill/puzzle","solo/hotseat-putt","GPL/open-source-with-data-in-debian-main","cache-safe-via-debian-main","download-cached","partial","Cache neverball and neverball-data; hub can present Neverball skill mode and Neverputt couch mode if packaged together.","130","","Native desktop client; OpenGL; keyboard/mouse","Launch offline, start first level, move ball or putt, capture gameplay screenshot; check mobile hub only, not native mobile support.","Family-friendly, quick-session, low admin cost. 2026-06-20 promoted to public package hub; latest smoke partial: Reached Neverball menu/level screen with nonblank screenshot."
"11","xmoto-lan","X-Moto","https://packages.debian.org/bookworm/xmoto","Debian bookworm main","native Linux","2D motocross platformer","solo","GPL/open-source-with-data-in-debian-main","cache-safe-via-debian-main","download-cached","partial","Cache xmoto and xmoto-data packages; include local docs/control notes.","110","","Native desktop client; keyboard/gamepad useful","Launch offline, start tutorial/first track, move bike, capture gameplay screenshot/log.","Good action/skill entry with modest size; online level browser must be disabled or documented as unavailable. 2026-06-20 promoted to public package hub; latest smoke partial: Screenshot captured but nonblank check was weak."
"12","frozen-bubble-lan","Frozen Bubble","https://packages.debian.org/bookworm/frozen-bubble","Debian bookworm main","native Linux","arcade puzzle","solo/local-multiplayer","GPL/open-source-with-data-in-debian-main","cache-safe-via-debian-main","download-cached","partial","Cache frozen-bubble and data packages; hub should emphasize local play and avoid internet multiplayer assumptions.","80","","Native desktop client; keyboard/mouse","Launch offline, start solo or two-player local game, fire bubbles, capture screenshot/log.","Classic family/couch puzzle candidate; lightweight. 2026-06-20 promoted to public package hub; latest smoke partial: Reached Frozen Bubble menu/gameplay with nonblank screenshot."
"13","fillets-ng-lan","Fish Fillets NG","https://packages.debian.org/bookworm/fillets-ng","Debian bookworm main","native Linux","sokoban puzzle","solo","GPL/open-source-with-data-in-debian-main","cache-safe-via-debian-main","download-cached","partial","Cache fillets-ng and fillets-ng-data; optional language voice packs can wait.","120","","Native desktop client; keyboard/mouse","Launch offline, start first puzzle, make a move, capture screenshot/log.","Strong puzzle value; witty tone may need quick age/content glance. 2026-06-20 promoted to public package hub; latest smoke partial: Reached Fish Fillets NG menu/puzzle with nonblank screenshot."
"14","enigma-lan","Enigma","https://packages.debian.org/bookworm/enigma","Debian bookworm main","native Linux","marble puzzle","solo","GPL/open-source-with-data-in-debian-main","cache-safe-via-debian-main","download-cached","partial","Cache enigma, enigma-data, and optionally enigma-doc; hub should include controls and first levels.","90","","Native desktop client; mouse/keyboard","Launch offline, start a level, move marble, capture gameplay screenshot/log.","High puzzle density and small cache footprint. 2026-06-20 promoted to public package hub; latest smoke partial: Reached Enigma menu/level with nonblank screenshot."
"15","pushover-lan","Pushover","https://packages.debian.org/bookworm/pushover","Debian bookworm main","native Linux","domino puzzle","solo","GPL/open-source-with-data-in-debian-main","cache-safe-via-debian-main","download-cached","partial","Cache pushover and pushover-data; include quick explanation of domino goal.","70","","Native desktop client; keyboard/mouse","Launch offline, start first level, perform an action, capture screenshot/log.","Short-session puzzle lane; good low-risk promotion candidate. 2026-06-20 promoted to public package hub; latest smoke partial: Reached Pushover menu/level with nonblank screenshot."
"16","ri-li-lan","Ri-li","https://packages.debian.org/bookworm/ri-li","Debian bookworm main","native Linux","toy train arcade puzzle","solo","GPL/open-source-with-data-in-debian-main","cache-safe-via-debian-main","not-started","license-clear","Cache ri-li and ri-li-data; create hub with simple controls and age suitability.","170","","Native desktop client; keyboard/mouse","Launch offline, start first level, move train/collect cars, capture screenshot/log.","Kid-friendly subject, though data package is larger than the simple game suggests."
"17","chromium-bsu-lan","Chromium B.S.U.","https://packages.debian.org/bookworm/chromium-bsu","Debian bookworm main","native Linux","vertical shooter","solo","artistic-license/GPL-style-package-in-debian-main","cache-safe-via-debian-main","not-started","license-clear","Cache chromium-bsu and data packages; hub should age-label arcade shooting.","60","","Native desktop client; OpenGL; keyboard/mouse","Launch offline, start arcade run, fire/move, capture screenshot/log.","Tiny action candidate; content is abstract arcade combat."
"18","lbreakouthd-lan","LBreakoutHD","https://packages.debian.org/bookworm/lbreakouthd","Debian bookworm main","native Linux","brick breaker","solo/local-multiplayer","GPL/open-source-with-data-in-debian-main","cache-safe-via-debian-main","not-started","license-clear","Cache lbreakouthd and data packages; include local multiplayer only if smoke confirms it.","50","","Native desktop client; keyboard/mouse","Launch offline, start a level, bounce ball/break bricks, capture screenshot/log.","Very small, familiar arcade lane."
"19","kobodeluxe-lan","Kobo Deluxe","https://packages.debian.org/bookworm/kobodeluxe","Debian bookworm main","native Linux","arcade shooter","solo","GPL/open-source-with-data-in-debian-main","cache-safe-via-debian-main","not-started","license-clear","Cache kobodeluxe and data packages; hub should age-label shooting/action.","30","","Native desktop client; keyboard/mouse","Launch offline, start a level, move/fire, capture screenshot/log.","Small and fast; useful filler if native smoke pattern is already built."
"20","scorched3d-lan","Scorched3D","https://packages.debian.org/bookworm/scorched3d","Debian bookworm main","native Linux","turn-based artillery","solo/local/LAN","GPL/open-source-with-data-in-debian-main","cache-safe-via-debian-main","not-started","license-clear","Cache scorched3d and data packages; only document LAN after port/service behavior is verified.","160","Optional built-in server or LAN host; verify before enabling","Native desktop client; OpenGL; keyboard/mouse","Launch offline, start local bot/hotseat match, fire a shot, capture screenshot/log; later test LAN host/join.","Potential couch/LAN artillery alternative to Hedgewars; 3D client may need GPU care."
"21","warmux-lan","WarMUX","https://packages.debian.org/bookworm/warmux","Debian bookworm main","native Linux","turn-based artillery","solo/local/LAN","GPL/open-source-with-data-in-debian-main","cache-safe-via-debian-main","not-started","license-clear","Cache warmux and warmux-data; avoid public server/index features in offline hub.","160","Optional warmux server package; stop after smoke","Native desktop client; keyboard/mouse","Launch offline, start local match, take a turn, capture screenshot/log; later test LAN only if still maintained enough.","Lower priority because Hedgewars already covers a similar lane."
"22","spacezero-lan","SpaceZero","https://packages.debian.org/bookworm/spacezero","Debian bookworm main","native Linux","2D space RTS/combat","solo/LAN","GPL/open-source-with-data-in-debian-main","cache-safe-via-debian-main","not-started","license-clear","Cache spacezero package; inspect whether maps/docs need extra local assets.","70","Potential LAN host; verify port and process cleanup","Native desktop client; GTK/OpenAL; keyboard/mouse","Launch offline, start solo match, capture gameplay; later run two-client or server smoke if LAN mode is practical.","Interesting tiny multiplayer candidate, but UI/maintenance quality needs proof."
"23","nethack-x11-lan","NetHack X11","https://packages.debian.org/bookworm/nethack-x11","Debian bookworm main","native Linux","classic roguelike","solo","permissive/free-package-in-debian-main","cache-safe-via-debian-main","not-started","license-clear","Cache nethack-x11 and nethack-common; hub should include beginner command sheet and maybe terminal alternative.","30","","Native X11 client or terminal client; keyboard-heavy","Launch offline, start character, move in dungeon, capture screenshot/log; verify save path works.","Classic but keyboard-heavy; lower rank because DCSS already exists."
"24","openra-lan","OpenRA","https://www.openra.net/download/","Official project page / GitHub / itch.io","native Linux/Windows/macOS","real-time strategy","solo/LAN","GPL-engine-with-non-GPL-original-game-assets","legal-review-before-public-cache","not-started","legal-review","Do not cache mod asset payloads until EA modding-guideline implications are accepted; cache engine/AppImages only after legal decision, then verify first-run asset flow can be made offline.","200-500","Optional LAN host; no always-on service expected","Native AppImage/client; OpenGL; keyboard/mouse","After legal review, cache selected AppImages and any approved asset payloads, block internet, start skirmish, capture gameplay; then test LAN host/join.","Very attractive RTS, but official page says mods use original game files under separate terms."
"25","tuxemon-lan","Tuxemon","https://tuxemon.org/","Official project page / GitHub","native Python/Linux/Windows/Android","monster-collecting RPG","solo/online-multiplayer-possible","GPL-code-CC-BY-SA-assets","likely-cache-safe-after-release-asset-check","not-started","license-clear","Cache a tagged release or Flatpak/source bundle plus Python dependencies; avoid online features until local/offline path is proven.","300","","Native Python client; keyboard/gamepad; possible dependency bundle","Build or run packaged release offline, start story, enter first battle or overworld, capture screenshot/log; verify no server dependency for solo play.","Good kid-friendly RPG lane if packaging is not too fiddly."
"26","pioneer-space-sim-lan","Pioneer Space Sim","https://pioneerspacesim.net/page/download/","Official project page / itch.io","native Linux/Windows","3D space sim","solo","GPL-and-CC-BY-SA-assets-per-project-signal","cache-safe-after-release-license-check","not-started","license-clear","Cache official Linux/Windows release archive plus source/license files; Bookworm does not provide an easy main package, so prefer upstream manifest.","300-700","","Native desktop client; OpenGL; keyboard/mouse/joystick optional","Launch offline, start new game, take off or reach cockpit/space view, capture screenshot/log; record GPU/resource needs.","Deeper space sim than Naev; rank lower because upstream packaging/licensing needs a careful manifest."
"27","aleph-one-marathon","Aleph One / Marathon Trilogy","https://alephone.lhowon.org/","Official project page / GitHub","native Linux/Windows/macOS","classic FPS","solo/LAN/co-op","GPL-engine-game-data-needs-legal-review","legal-review-before-public-cache","not-started","legal-review","Cache engine/source only until Marathon game-data redistribution terms are explicitly accepted; if approved, keep a manifest for each trilogy package.","500","Peer-to-peer LAN/co-op; no dedicated service expected","Native desktop client; OpenGL; keyboard/mouse","After legal review, launch offline, start solo level, capture screenshot; then test two local LAN clients if promotion is desired.","Excellent LAN/co-op candidate; legal status of bundled game data needs Dylan/legal review."
"28","opentyrian-lan","OpenTyrian / Tyrian 2.1 data","https://github.com/opentyrian/opentyrian","GitHub / freeware data source","native Linux/Windows","vertical shooter","solo/local-coop/network","GPL-engine-freeware-data-rights-unclear","legal-review-before-public-cache","not-started","legal-review","Cache engine/source only until Tyrian data redistribution is cleared; if approved, cache official tyrian21.zip with checksum and license notes.","50","","Native desktop client; SDL; keyboard/gamepad","Build or package engine, add local data, start arcade/story mode offline, capture screenshot/log; test two-player local if practical.","Fun and tiny, but multiple sources note data is freeware while redistribution rights are murkier than Debian-main packages."
"29","theme-hospital-corsixth-review","Theme Hospital via CorsixTH","https://www.myabandonware.com/game/theme-hospital-2ek","My Abandonware discovery source","DOS/Windows data plus native engine","management sim","solo","commercial-data-unclear-engine-open-source","private-only-or-legal-review","purchase-only","blocked","Use MyAbandonware only as discovery/metadata; do not cache public game files. If Dylan supplies owned data, keep private-only and evaluate CorsixTH locally.","250","None unless future multiplayer is explored","CorsixTH engine plus private game data","Only after private/legal data exists: launch offline, start first hospital, build a room, capture screenshot/log; no public redistribution claim.","High-value management game, but rights are not clear for public mirroring. 2026-06-19 MyAbandonware source check: full-game download removed / buy path only; manual extra exists, so this lane is blocked unless Dylan supplies owned data for CorsixTH."
"30","simtower-review","SimTower: The Vertical Empire","https://www.myabandonware.com/game/simtower-the-vertical-empire-3f2","My Abandonware discovery source","Windows/Mac classic","management sim","solo","commercial-data-unclear","private-only-or-legal-review","download-cached","download-cached","Private raw files cached on NFS under /srv/lan-arcade/native-downloads/intake/private-tycoon/simtower-review; do not expose in public catalog. Needs old Windows runtime path before smoke.","12","","Windows 3.x/Win95 emulation or Wine/Win16 path; neither Wine nor DOSBox installed on VM during preflight.","Build first lobby/elevator/floor while outbound network is blocked; capture screenshot/log.","Great family management fit, but commercial status keeps it out of public cache. 2026-06-19 private agent-side cache complete with manifest/checksums/launch recipe; not gameplay-smoked."
