"priority","game_id","title","lane","source_url","availability_status","download_evidence","runtime_hypothesis","next_action","notes"
"1","nfs-most-wanted-2005-ma","Need for Speed: Most Wanted","private-classic-racing","https://www.myabandonware.com/game/need-for-speed-most-wanted-i4m","verified-page-visible-private","Visible download link on checked page; page header shows Download 161 MB, comments mention larger MagiPack/full files","Wine/Windows VM","Acquire one practical full package only, manifest/checksum, test launch/race offline","High appeal but Windows fixes/NoCD/DirectX path likely tricky."
"2","nfs-underground-2-ma","Need for Speed: Underground 2","private-classic-racing","https://www.myabandonware.com/game/need-for-speed-underground-2-ega","verified-page-visible-private","Visible download parsed: 614 MB","Wine/Windows VM","Manifest/checksum, install, start first race offline","Top-downloads seed; likely one of the strongest nostalgia racing targets."
"3","civilization-1-ma","Sid Meier's Civilization","private-classic-strategy","https://www.myabandonware.com/game/sid-meier-s-civilization-1nj","verified-page-visible-private","Visible downloads parsed: 2 MB, 5 MB, 15 MB, 8 MB","DOSBox/Win3x/EmulatorJS","Acquire DOS or easiest version, start new game, found city offline","Classic strategy; small and likely easy."
"4","silent-hill-2-ma","Silent Hill 2: Restless Dreams","private-classic-action","https://www.myabandonware.com/game/silent-hill-2-restless-dreams-bgd","verified-page-visible-private","Visible download parsed: 275 MB","Wine/Windows VM","Install/launch, reach controllable scene offline","Mature horror; probably adult/hidden shelf only."
"5","blur-ma","Blur","private-classic-racing","https://www.myabandonware.com/game/blur-gls","verified-page-visible-private","Visible download parsed: 3.9 GB","Wine/Windows VM","Defer until smaller racers pass; test one race offline","Large modern-ish racer; high disk/runtime risk."
"6","nfs-ii-se-ma","Need for Speed II: SE","private-classic-racing","https://www.myabandonware.com/game/need-for-speed-ii-se-a4a","verified-page-visible-private","Visible download parsed: 108 MB","Wine/Windows VM","Install/launch, start race offline","Good smaller NFS target."
"7","house-of-the-dead-1-ma","The House of the Dead","private-classic-action","https://www.myabandonware.com/game/the-house-of-the-dead-bed","verified-page-visible-private","Visible downloads parsed: 18 MB, 368 MB","Wine/Windows VM","Install/launch, reach first playable shooting scene offline","Mature arcade shooter; age-label."
"8","incredible-machine-1-ma","The Incredible Machine","private-classic-puzzle","https://www.myabandonware.com/game/the-incredible-machine-1mg","verified-page-visible-private","Visible downloads parsed: 449 KB, 449 KB, 684 KB, 142 MB","DOSBox/EmulatorJS","Acquire small DOS package, solve/interact with first puzzle offline","Excellent family puzzle candidate."
"9","oregon-trail-deluxe-ma","Oregon Trail Deluxe","private-classic-educational","https://www.myabandonware.com/game/oregon-trail-deluxe-1h9","verified-page-visible-private","Visible downloads parsed: 2 MB, 2 MB","DOSBox/EmulatorJS","Start journey and make first choice offline","Strong family/education fit."
"10","nfs-carbon-ma","Need for Speed: Carbon","private-classic-racing","https://www.myabandonware.com/game/need-for-speed-carbon-ign","verified-page-visible-private","Visible download parsed: 3.2 GB","Wine/Windows VM","Defer until smaller NFS passes; start first race offline","Large Windows candidate."
"11","silent-hill-3-ma","Silent Hill 3","private-classic-action","https://www.myabandonware.com/game/silent-hill-3-bge","verified-page-visible-private","Visible download parsed: 352 MB","Wine/Windows VM","Install/launch, reach controllable scene offline","Mature horror; adult/hidden shelf only."
"12","virtua-cop-2-ma","Virtua Cop 2","private-classic-action","https://www.myabandonware.com/game/virtua-cop-2-byi","verified-page-visible-private","Visible downloads parsed: 12 MB, 14 MB, 287 MB, 287 MB","Wine/Windows VM","Acquire small Windows version first, start stage offline","Arcade shooter; simple smoke."
"13","prince-of-persia-ma","Prince of Persia","private-classic-platformer","https://www.myabandonware.com/game/prince-of-persia-pd","verified-page-visible-private","Visible downloads parsed: 337 KB, 1 MB, 3 MB, 76 KB","DOSBox/EmulatorJS","Start level, move/jump offline","Tiny and iconic."
"14","black-white-2-ma","Black & White 2","private-classic-management","https://www.myabandonware.com/game/black-white-2-bem","verified-page-visible-private","Visible download parsed: 618 MB","Wine/Windows VM","Install/launch, reach first controllable village/creature scene","Management/god-game lane; 3D risk."
"15","house-of-the-dead-2-ma","The House of the Dead 2","private-classic-action","https://www.myabandonware.com/game/the-house-of-the-dead-2-beg","verified-page-visible-private","Visible downloads parsed: 461 MB, 717 KB, 99 MB","Wine/Windows VM","Start first stage offline","Mature arcade shooter; age-label."
"16","mario-teaches-typing-ma","Mario Teaches Typing","private-classic-educational","https://www.myabandonware.com/game/mario-teaches-typing-1gl","verified-page-visible-private","Visible downloads parsed: 962 KB, 2 MB","DOSBox/EmulatorJS","Start typing lesson offline","Educational but licensed; private-only."
"17","nfs-underground-ma","Need for Speed: Underground","private-classic-racing","https://www.myabandonware.com/game/need-for-speed-underground-bgh","verified-page-visible-private","Visible download parsed: 475 MB","Wine/Windows VM","Start first race offline","Good NFS target after NFS II/Underground 2."
"18","project-igi-ma","Project IGI: I'm Going In","private-classic-action","https://www.myabandonware.com/game/project-igi-i-m-going-in-bgl","verified-page-visible-private","Visible download parsed: 179 MB","Wine/Windows VM","Launch, start mission offline","Shooter; age-label."
"19","simpsons-hit-run-ma","The Simpsons: Hit & Run","private-classic-action-racing","https://www.myabandonware.com/game/the-simpsons-hit-run-bg6","verified-page-visible-private","Visible download parsed: 477 MB","Wine/Windows VM","Install/launch, start first driving mission offline","Popular family-ish licensed title; private-only."
"20","cricket-07-ma","Cricket 07","private-classic-sports","https://www.myabandonware.com/game/cricket-07-e5y","verified-page-visible-private","Visible download parsed: 452 MB","Wine/Windows VM","Start match offline","Sports lane."
"21","zoo-tycoon-complete-ma","Zoo Tycoon: Complete Collection","private-classic-tycoon","https://www.myabandonware.com/game/zoo-tycoon-complete-collection-dzx","verified-page-visible-private","Visible download parsed: 495 MB","Wine/Windows VM","Install/launch, place exhibit/animal offline","Very strong tycoon target."
"22","typing-of-the-dead-ma","The Typing of the Dead","private-classic-typing","https://www.myabandonware.com/game/the-typing-of-the-dead-bee","verified-page-visible-private","Visible downloads parsed: 121 MB, 966 KB","Wine/Windows VM","Start typing combat lesson offline","Fun typing game; horror/zombie age-label."
"23","black-white-ma","Black & White","private-classic-management","https://www.myabandonware.com/game/black-white-a33","verified-page-visible-private","Visible download parsed: 326 MB","Wine/Windows VM","Reach first village/creature interaction offline","Good management/god-game; 3D risk."
"24","scarface-ma","Scarface: The World Is Yours","private-classic-action","https://www.myabandonware.com/game/scarface-the-world-is-yours-cn2","verified-page-visible-private","Visible download parsed: 1.9 GB","Wine/Windows VM","Defer; launch first controllable scene offline","Adult crime/action; likely hidden/adult shelf."
"25","lemmings-ma","Lemmings","private-classic-puzzle","https://www.myabandonware.com/game/lemmings-16x","verified-page-visible-private","Visible downloads parsed: 668 KB, 668 KB, 353 MB","DOSBox/EmulatorJS","Start first puzzle and assign skill offline","Excellent family puzzle target."
"26","road-rash-ma","Road Rash","private-classic-racing","https://www.myabandonware.com/game/road-rash-bez","verified-page-visible-private","Visible downloads parsed: 20 MB, 574 MB","Wine/DOSBox depending version","Start race offline","Strong arcade racing target."
"27","dune-ii-ma","Dune II: The Building of a Dynasty","private-classic-rts","https://www.myabandonware.com/game/dune-ii-the-building-of-a-dynasty-1e7","verified-page-visible-private","Visible downloads parsed: 4 MB, 4 MB, 4 MB, 10 MB","DOSBox/EmulatorJS","Start first mission/base build offline","Classic RTS; small."
"28","simant-ma","SimAnt","private-classic-sim","https://www.myabandonware.com/game/simant-197","verified-page-visible-private","Visible downloads parsed: 706 KB, 706 KB, 1 MB, 8 MB","DOSBox/Win3x/EmulatorJS","Start colony and move ant offline","Maxis sim lane; small."
"29","yugioh-power-of-chaos-ma","Yu-Gi-Oh!: Power of Chaos - Yugi the Destiny","private-classic-card","https://www.myabandonware.com/game/yu-gi-oh-power-of-chaos-yugi-the-destiny-bex","verified-page-visible-private","Visible download parsed: 207 MB","Wine/Windows VM","Start duel offline","Card game; licensed private-only."
"30","midtown-madness-ma","Midtown Madness","private-classic-racing","https://www.myabandonware.com/game/midtown-madness-a06","verified-page-visible-private","Visible download parsed: 95 MB","Wine/Windows VM","Start cruise/race offline","Exactly matches Dylan's mention; good target."
"31","rogue-ma","Rogue","private-classic-roguelike","https://www.myabandonware.com/game/rogue-4n","verified-page-visible-private","Visible downloads parsed: 46 KB, 46 KB, 122 KB, 211 KB","DOSBox/terminal","Start dungeon offline","Tiny classic."
"32","spiderman-web-of-shadows-ma","Spider-Man: Web of Shadows","private-classic-action","https://www.myabandonware.com/game/spider-man-web-of-shadows-gmb","verified-page-visible-private","Visible download parsed: 3.9 GB","Wine/Windows VM","Defer; launch first controllable scene offline","Huge licensed title; high risk."
"33","harry-potter-sorcerers-stone-ma","Harry Potter and the Sorcerer's Stone","private-classic-action","https://www.myabandonware.com/game/harry-potter-and-the-sorcerer-s-stone-e3o","verified-page-visible-private","Visible download parsed: 259 MB","Wine/Windows VM","Start first playable scene offline","Family-ish licensed title."
"34","house-of-the-dead-iii-ma","The House of the Dead III","private-classic-action","https://www.myabandonware.com/game/the-house-of-the-dead-iii-beh","verified-page-visible-private","Visible download parsed: 465 MB","Wine/Windows VM","Start first stage offline","Mature arcade shooter."
"35","nfs-prostreet-ma","Need for Speed: ProStreet","private-classic-racing","https://www.myabandonware.com/game/need-for-speed-prostreet-m4l","verified-page-visible-private","Visible download parsed: 3.3 GB","Wine/Windows VM","Defer until smaller racers pass","Large NFS candidate."
"36","the-movies-ma","The Movies","private-classic-management","https://www.myabandonware.com/game/the-movies-bcv","verified-page-visible-private","Visible downloads parsed: 567 MB, 7.5 GB","Wine/Windows VM","Install/launch, make first studio action offline","High-interest management sim."
"37","championship-manager-0102-ma","Championship Manager: Season 01/02","private-classic-management-sports","https://www.myabandonware.com/game/championship-manager-season-01-02-a2h","verified-page-visible-private","Visible download parsed: 278 MB","Wine/Windows VM","Start manager save offline","Sports management lane."
"38","nfs-hot-pursuit-2-ma","Need for Speed: Hot Pursuit 2","private-classic-racing","https://www.myabandonware.com/game/need-for-speed-hot-pursuit-2-dna","verified-page-visible-private","Visible downloads parsed: 379 MB, 379 MB","Wine/Windows VM","Start race/offline pursuit","Good NFS target."
"39","mechwarrior-4-mercenaries-ma","MechWarrior 4: Mercenaries","private-classic-action-sim","https://www.myabandonware.com/game/mechwarrior-4-mercenaries-3ak","verified-page-visible-private","Visible download parsed: 1.1 GB","Wine/Windows VM","Launch mission offline","Large but strong classic."
"40","championship-manager-9798-ma","Championship Manager: Season 97/98","private-classic-management-sports","https://www.myabandonware.com/game/championship-manager-season-97-98-2db","verified-page-visible-private","Visible download parsed: 6 MB","DOSBox/Wine","Start manager save offline","Tiny sports management candidate."
"41","disney-tarzan-ma","Disney's Tarzan","private-classic-platformer","https://www.myabandonware.com/game/disney-s-tarzan-49p","verified-page-visible-private","Visible download parsed: 46 MB","Wine/Windows VM","Start first level offline","Licensed platformer."
"42","bfme-ii-ma","The Lord of the Rings: The Battle for Middle-earth II","private-classic-rts","https://www.myabandonware.com/game/the-lord-of-the-rings-the-battle-for-middle-earth-ii-e4y","verified-page-visible-private","Visible download parsed: 584 MB","Wine/Windows VM","Start skirmish offline","Good RTS but licensed/private-only."
"43","sonic-r-ma","Sonic R","private-classic-racing","https://www.myabandonware.com/game/sonic-r-a38","verified-page-visible-private","Visible downloads parsed: 25 MB, 576 MB","Wine/Windows VM","Start race offline","Licensed racing."
"44","sonic-heroes-ma","Sonic Heroes","private-classic-platformer","https://www.myabandonware.com/game/sonic-heroes-cm5","verified-page-visible-private","Visible download parsed: 469 MB","Wine/Windows VM","Start first level offline","Licensed action/platformer."
"45","incredible-machine-2-ma","The Incredible Machine 2","private-classic-puzzle","https://www.myabandonware.com/game/the-incredible-machine-2-1n2","verified-page-visible-private","Visible download parsed: 2 MB","DOSBox/EmulatorJS","Start puzzle offline","Excellent puzzle follow-up."
"46","bookworm-adventures-ma","Bookworm Adventures","private-classic-word","https://www.myabandonware.com/game/bookworm-adventures-lzn","verified-page-visible-private","Visible download parsed: 21 MB","Wine/Windows VM","Start first word battle offline","Good reading/word game."
"47","tony-hawk-pro-skater-2-ma","Tony Hawk's Pro Skater 2","private-classic-sports","https://www.myabandonware.com/game/tony-hawk-s-pro-skater-2-a2e","verified-page-visible-private","Visible download parsed: 490 MB","Wine/Windows VM","Start first skate session offline","Strong Dylan-mentioned lane."
"48","tony-hawk-pro-skater-3-ma","Tony Hawk's Pro Skater 3","private-classic-sports","https://www.myabandonware.com/game/tony-hawk-s-pro-skater-3-3rm","verified-page-visible-private","Visible download parsed: 514 MB","Wine/Windows VM","Start first skate session offline","Strong follow-up."
"49","tony-hawk-pro-skater-4-ma","Tony Hawk's Pro Skater 4","private-classic-sports","https://www.myabandonware.com/game/tony-hawk-s-pro-skater-4-cn6","verified-page-visible-private","Visible download parsed: 392 MB","Wine/Windows VM","Start first skate session offline","Strong follow-up."
"50","tony-hawk-underground-ma","Tony Hawk's Underground","private-classic-sports","https://www.myabandonware.com/game/tony-hawk-s-underground-c6j","verified-page-visible-private","Visible download parsed: 759 MB","Wine/Windows VM","Start first playable scene offline","Windows fixes/NoCD likely."
"51","tony-hawk-underground-2-ma","Tony Hawk's Underground 2","private-classic-sports","https://www.myabandonware.com/game/tony-hawk-s-underground-2-fvd","verified-page-visible-private","Visible download parsed: 559 MB","Wine/Windows VM","Start first playable scene offline","Good but medium-large."
"52","tony-hawk-american-wasteland-ma","Tony Hawk's American Wasteland","private-classic-sports","https://www.myabandonware.com/game/tony-hawk-s-american-wasteland-cn3","verified-page-visible-private","Visible download parsed: 401 MB","Wine/Windows VM","Start first playable scene offline","Later THPS-era candidate."
"53","midtown-madness-2-ma","Midtown Madness 2","private-classic-racing","https://www.myabandonware.com/game/midtown-madness-2-a07","verified-page-visible-private","Visible download parsed: 357 MB","Wine/Windows VM","Start cruise/race offline","Excellent follow-up to Midtown Madness."
"54","motocross-madness-ma","Motocross Madness","private-classic-racing","https://www.myabandonware.com/game/motocross-madness-a4f","verified-page-visible-private","Visible download parsed: 111 MB","Wine/Windows VM","Start race/offroad event offline","Smaller Microsoft racing candidate."
"55","motocross-madness-2-ma","Motocross Madness 2","private-classic-racing","https://www.myabandonware.com/game/motocross-madness-2-a4g","verified-page-visible-private","Visible download parsed: 471 MB","Wine/Windows VM","Start race/offroad event offline","Good but larger."
"56","midnight-club-ii-ma","Midnight Club II","private-classic-racing","https://www.myabandonware.com/game/midnight-club-ii-d4c","verified-page-visible-private","Visible download parsed: 669 MB","Wine/Windows VM","Start first race offline","Strong street-racing candidate."
"57","driver-ma","Driver","private-classic-driving-action","https://www.myabandonware.com/game/driver-3j8","verified-page-visible-private","Visible download parsed: 311 MB","Wine/Windows VM","Start training/first mission offline","GTA-adjacent driving action."
"58","driv3r-ma","Driv3r","private-classic-driving-action","https://www.myabandonware.com/game/driv3r-eq2","verified-page-visible-private","Visible download parsed: 707 MB","Wine/Windows VM","Launch first controllable scene offline","Higher compatibility risk."
"59","driver-san-francisco-ma","Driver: San Francisco","private-classic-driving-action","https://www.myabandonware.com/game/driver-san-francisco-ygs","verified-page-visible-private","Visible downloads parsed: 8.0 GB, 8.4 GB","Wine/Windows VM","Defer; huge package; launch first drive offline","Very large; only after small wins."
"60","toca-race-driver-2-ma","TOCA Race Driver 2","private-classic-racing","https://www.myabandonware.com/game/toca-race-driver-2-eog","verified-page-visible-private","Visible download parsed: 2.1 GB","Wine/Windows VM","Defer; start first race offline","Large racing sim."
"61","test-drive-4-ma","Test Drive 4","private-classic-racing","https://www.myabandonware.com/game/test-drive-4-dfp","verified-page-visible-private","Visible download parsed: 123 MB","Wine/Windows VM","Start race offline","Smaller racing candidate."
"62","test-drive-5-ma","Test Drive 5","private-classic-racing","https://www.myabandonware.com/game/test-drive-5-dfq","verified-page-visible-private","Visible download parsed: 108 MB","Wine/Windows VM","Start race offline","Smaller racing candidate."
"63","test-drive-6-ma","Test Drive 6","private-classic-racing","https://www.myabandonware.com/game/test-drive-6-dfr","verified-page-visible-private","Visible download parsed: 328 MB","Wine/Windows VM","Start race offline","Moderate racing candidate."
"64","test-drive-unlimited-megapack-ma","Test Drive Unlimited: Megapack","private-classic-racing","https://www.myabandonware.com/game/test-drive-unlimited-megapack-ko8","verified-page-visible-private","Visible downloads parsed: 213 MB, 213 MB","Wine/Windows VM","Start offline drive/race","Needs check whether base game required."
"65","gta-london-1969-ma","Grand Theft Auto: Mission Pack #1 - London 1969","private-classic-driving-action","https://www.myabandonware.com/game/grand-theft-auto-mission-pack-1-london-1969-7ps","verified-page-visible-private","Visible download parsed: 50 MB","DOSBox/Wine","Acquire only with GTA base path; launch mission offline","Addon requires original GTA."
"66","gta-london-1961-ma","Grand Theft Auto: Mission Pack #2 - London 1961","private-classic-driving-action","https://www.myabandonware.com/game/grand-theft-auto-mission-pack-2-london-1961-7pt","verified-page-visible-private","Visible downloads parsed: 6 MB, 6 MB","DOSBox/Wine","Acquire only with London 1969/GTA base path; launch offline","Addon chain dependency."
"67","grand-theft-auto-1997-xtc","Grand Theft Auto","private-classic-driving-action","https://www.xtcabandonware.com/game/425/grand-theft-auto-gta","snippet-visible-private","Search result shows free download and size 31660 KB","DOSBox/Wine","Recheck source page, acquire if clean, launch first city/mission offline","Alternate source because MyAbandonware page was not easily surfaced; keep private-only."
"68","railroad-tycoon-deluxe-dos-ma","Sid Meier's Railroad Tycoon Deluxe","private-classic-tycoon","https://www.myabandonware.com/game/sid-meier-s-railroad-tycoon-deluxe-22z","verified-from-tycoon-sweep-private","Visible Download 9 MB plus browser-play option in prior sweep","DOSBox/EmulatorJS","Start company, build track/station/train offline","Best immediate Railroad Tycoon target."
"69","railroad-tycoon-dos-ma","Sid Meier's Railroad Tycoon","private-classic-tycoon","https://www.myabandonware.com/game/sid-meier-s-railroad-tycoon-zn","verified-from-tycoon-sweep-private","Visible DOS downloads: codes, install disks, pre-installed package, manual","DOSBox/EmulatorJS","Start company, build first route offline","Classic, but copy-protection/manual handling."
"70","a-train-dos-ma","A-Train","private-classic-tycoon","https://www.myabandonware.com/game/a-train-1bn","verified-from-tycoon-sweep-private","Visible Download 1 MB plus browser-play option","DOSBox/EmulatorJS","Start map and create first rail/property action","Strong train/business sim."
"71","sim-farm-dos-ma","SimFarm","private-classic-tycoon","https://www.myabandonware.com/game/sim-farm-204","verified-from-tycoon-sweep-private","Visible Download 1 MB plus browser-play option","DOSBox/EmulatorJS","Start farm and plant first field offline","Good Maxis sim."
"72","simcity-classic-dos-ma","SimCity","private-classic-city-builder","https://www.myabandonware.com/game/simcity-ri","verified-from-tycoon-sweep-private","Visible Download 381 KB plus browser-play option","DOSBox/EmulatorJS","Start city and place roads/zones/power offline","Cleanest classic SimCity download page found."
"73","zoo-tycoon-windows-ma","Zoo Tycoon","private-classic-tycoon","https://www.myabandonware.com/game/zoo-tycoon-a3d","verified-from-tycoon-sweep-private","Visible Windows ISO downloads; English ISO listed as 567 MB","Wine/Windows VM","Install, open/build first zoo offline","Base game target; Complete Collection also exists."
"74","sim-theme-park-windows-ma","Sim Theme Park / Theme Park World","private-classic-tycoon","https://www.myabandonware.com/game/sim-theme-park-a20","verified-from-tycoon-sweep-private","Visible Download 465 MB","Wine/Windows VM","Install, create/open first park offline","Theme-park path that passed downloadability."
"75","simcoaster-windows-ma","SimCoaster / Theme Park Inc.","private-classic-tycoon","https://www.myabandonware.com/game/simcoaster-a27","verified-from-tycoon-sweep-private","Visible Download 165 MB","Wine/Windows VM","Install, create/open first park offline","Smaller theme-park fallback."
"76","simsafari-windows-ma","SimSafari","private-classic-management","https://www.myabandonware.com/game/simsafari-bf4","verified-from-tycoon-sweep-private","Visible Download 23 MB","Wine/Windows VM","Create safari/camp and place first item offline","Family-friendly Maxis management toy."
"77","big-biz-tycoon-2-windows-ma","Big Biz Tycoon! 2","private-classic-management","https://www.myabandonware.com/game/big-biz-tycoon-2-ewu","verified-from-tycoon-sweep-private","Visible RIP Version 70 MB","Wine/Windows VM","Start company/office loop offline","Business sim; lower priority."
"78","entrepreneur-windows-ma","Entrepreneur","private-classic-management","https://www.myabandonware.com/game/entrepreneur-dlm","verified-from-tycoon-sweep-private","Visible Download 17 MB","Wine/Windows VM","Start product/company loop offline","Business alternative to Capitalism."
"79","black-gold-dos-ma","Black Gold / Oil Imperium","private-classic-management","https://www.myabandonware.com/game/black-gold-lu","verified-from-tycoon-sweep-private","Visible Download 363 KB plus browser-play option","DOSBox/EmulatorJS","Start oil business scenario offline","Tiny management sim."
"80","railroad-empire-dos-ma","Railroad Empire / Take the A-Train II","private-classic-tycoon","https://www.myabandonware.com/game/railroad-empire-qv","verified-from-tycoon-sweep-private","Visible Download 338 KB plus browser-play option","DOSBox/EmulatorJS","Start railroad map offline","Older rail/business sim."
"81","take-a-train-iv-dos-ma","Take the A-Train IV","private-classic-tycoon","https://www.myabandonware.com/game/take-the-a-train-iv-fam","verified-from-tycoon-sweep-private","Visible Download 845 KB","DOSBox","Start game and verify language/usability","Language/accessibility risk."
"82","3d-roller-coaster-designer-windows-ma","3D Roller Coaster Designer","private-classic-park-adjacent","https://www.myabandonware.com/game/3d-roller-coaster-designer-j8o","verified-from-tycoon-sweep-private","Visible Download 100 MB","Wine/Windows VM","Reach first coaster/design screen offline","Not full tycoon, but park-adjacent."
"83","create-city-windows-ma","Create City","private-classic-city-builder","https://www.myabandonware.com/game/create-city-vhz","verified-from-tycoon-sweep-private","Visible Download 5 MB","Wine/Windows VM","Smoke only if higher city builders fail","Low-quality risk."
"84","corporate-pursuit-win3x-ma","Corporate Pursuit","private-classic-management","https://www.myabandonware.com/game/corporate-pursuit-fmq","verified-from-tycoon-sweep-private","Visible Download 27 MB","Win3x/WineVDM/VM","Start company/product loop offline","Low priority, spreadsheet-heavy."
"85","speed-dreams-open","Speed Dreams","open-alternative-racing","https://www.speed-dreams.net/","official-free-or-packageable","Official open-source racing simulator source/download path","Native Linux/Windows","Cache release/packages, launch race offline","Need for Speed/TOCA-style safer lane."
"86","torcs-debian-open","TORCS","open-alternative-racing","https://torcs.sourceforge.net/","official-free-or-packageable","Debian packages available: torcs and torcs-data","Native Linux","Cache Debian packages, launch race offline","Older open racing sim."
"87","trigger-rally-debian-open","Trigger Rally","open-alternative-racing","https://trigger-rally.sourceforge.io/","official-free-or-packageable","Debian packages available: trigger-rally and trigger-rally-data","Native Linux","Cache Debian packages, start rally stage offline","Small open rally option."
"88","vdrift-open","VDrift","open-alternative-racing","https://vdrift.net/","official-free-or-packageable","Official open-source drift/racing project","Native Linux/Windows","Cache release/source, start race offline","Check maintenance and assets."
"89","stunt-rally-open","Stunt Rally","open-alternative-racing","https://stuntrally.tuxfamily.org/","official-free-or-packageable","Official open-source stunt/rally project","Native Linux/Windows","Cache release/source, start track offline","Good Midtown/Motocross-adjacent alternative."
"90","rigs-of-rods-open","Rigs of Rods","open-alternative-vehicle-sim","https://www.rigsofrods.org/","official-free-or-packageable","Official free/open soft-body vehicle simulator","Native Linux/Windows","Cache release, load vehicle/map offline","Sandbox vehicle fun; resource check needed."
"91","extreme-tux-racer-debian-open","Extreme Tux Racer","open-alternative-racing","https://sourceforge.net/projects/extremetuxracer/","official-free-or-packageable","Debian packages available: extremetuxracer and data","Native Linux","Cache Debian packages, start race offline","Small family-friendly racing."
"92","openbve-open","OpenBVE","open-alternative-train-sim","https://openbve-project.net/","official-free-or-packageable","Official open-source train simulator","Native Linux/Windows","Cache runtime plus one free route/train; start route offline","Train sim lane; assets must be selected carefully."
"93","the-dark-mod-open","The Dark Mod","open-alternative-stealth","https://www.thedarkmod.com/","official-free-standalone","Standalone free stealth game inspired by Thief","Native Linux/Windows","Cache standalone installer/release, start mission offline","Mature stealth; not for kid front page by default."
"94","daggerfall-unity-free","Daggerfall Unity + free Daggerfall data","open-alternative-rpg","https://www.dfworkshop.net/","official-free-or-packageable","Open engine; Daggerfall game data historically free from Bethesda/GOG paths, verify selected source","Native Linux/Windows","Cache engine and free data source, start new game offline","RPG classic lane; verify data source before caching."
"95","simutrans-open","Simutrans","open-alternative-tycoon","https://simutrans.net/index.html.en","official-free-or-packageable","Debian packages available: simutrans, simutrans-data, simutrans-pak64","Native Linux","Cache packages, build first route offline","Best open transport-tycoon next target."
"96","micropolis-open","Micropolis","open-alternative-city-builder","https://packages.debian.org/bookworm/micropolis","official-free-or-packageable","Debian packages available: micropolis and micropolis-data","Native Linux","Cache packages, start city offline","Clean SimCity-style open option."
"97","freerct-open","FreeRCT","open-alternative-theme-park","https://freerct.net/","official-free-or-packageable","Official open RollerCoaster Tycoon-like project","Native Linux","Cache release/Flatpak/source, test park building offline","Alpha-quality risk."
"98","cytopia-open","Cytopia","open-alternative-city-builder","https://cytopia.itch.io/cytopia","official-free-or-packageable","Official itch/GitHub open city-builder project","Native Linux/Windows","Cache release/source, build city offline","Promising but needs gameplay proof."
"99","openttd-open","OpenTTD","open-alternative-transport-tycoon","https://www.openttd.org/","official-free-or-packageable","Official open transport sim with free OpenGFX/OpenSFX/OpenMSX path","Native Linux/Windows","Already cataloged; use as baseline for transport-smoke quality","Existing LAN Arcade entry, included for clone comparison."
"100","openhv-open","OpenHV","open-alternative-rts","https://openhv.itch.io/openhv","official-free-or-packageable","Free/open RTS inspired by classic C&C-style gameplay","Native Linux/Windows","Cache release, start skirmish offline","Potential safer alternative to OpenRA asset questions."
